Commit Log for Tue Dec  4 21:11:36 2012


Installed the following packages:
adium-theme-ubuntu (0.3.3-0ubuntu0.1)
cgoban (1.9.14-17)
crafty (23.4-6)
crafty-books-medtosmall (1.0.debian1-2)
fairymax (4.8q-2)
gnome-brave-icon-theme (5.5.1-1ubuntu1)
gnome-colors (5.5.1-1ubuntu1)
gnome-colors-common (5.5.1-1ubuntu1)
gnome-dust-icon-theme (5.5.1-1ubuntu1)
gnome-human-icon-theme (5.5.1-1ubuntu1)
gnome-icon-theme-full (3.6.0-0ubuntu2)
gnome-illustrious-icon-theme (5.5.1-1ubuntu1)
gnome-noble-icon-theme (5.5.1-1ubuntu1)
gnome-wine-icon-theme (5.5.1-1ubuntu1)
gnome-wise-icon-theme (5.5.1-1ubuntu1)
gnugo (3.8-5)
joe (3.7-2.3)
libgtksourceview2.0-0 (2.10.5-0ubuntu3)
libgtksourceview2.0-common (2.10.5-0ubuntu3)
light-themes (0.1.93)
pychess (0.10.1-1)
python-glade2 (2.24.0-3build1)
python-gtksourceview2 (2.10.1-2build1)
python-rsvg (2.32.0+dfsg-2ubuntu1)
stockfish (2.2.2+git20120201-1)
ubuntu-artwork (58)
ubuntu-mono (0.0.49)
ubuntu-wallpapers (0.35.2)
ubuntu-wallpapers-quantal (0.35.2)
xboard (4.6.2-1)
xfce4-artwork (0.1.1a~git+20110420-1)
xfonts-100dpi (1:1.0.3)
