2013-01-07 14:06:33 startup archives unpack
2013-01-07 14:06:34 install pdmenu:armhf <none> 1.3.2
2013-01-07 14:06:34 status half-installed pdmenu:armhf 1.3.2
2013-01-07 14:06:35 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:35 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 startup packages configure
2013-01-07 14:06:37 configure pdmenu:armhf 1.3.2 <none>
2013-01-07 14:06:37 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status unpacked pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status half-configured pdmenu:armhf 1.3.2
2013-01-07 14:06:37 status installed pdmenu:armhf 1.3.2
2013-01-07 14:07:31 startup archives unpack
2013-01-07 14:07:31 upgrade libdconf1:armhf 0.14.0-0ubuntu2 0.14.1-0ubuntu0.1
2013-01-07 14:07:31 status half-configured libdconf1:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:31 status unpacked libdconf1:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:31 status half-installed libdconf1:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:32 status half-installed libdconf1:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:32 status unpacked libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:32 status unpacked libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 upgrade dconf-gsettings-backend:armhf 0.14.0-0ubuntu2 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 status half-configured dconf-gsettings-backend:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status unpacked dconf-gsettings-backend:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status half-installed dconf-gsettings-backend:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status triggers-pending libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-01-07 14:07:33 status half-installed dconf-gsettings-backend:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status half-installed dconf-gsettings-backend:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status unpacked dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 status unpacked dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 upgrade dconf-service:armhf 0.14.0-0ubuntu2 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 status half-configured dconf-service:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status unpacked dconf-service:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status half-installed dconf-service:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status half-installed dconf-service:armhf 0.14.0-0ubuntu2
2013-01-07 14:07:33 status unpacked dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:33 status unpacked dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:34 upgrade libglib2.0-0:armhf 2.34.0-1ubuntu1 2.34.1-1ubuntu1
2013-01-07 14:07:34 status half-configured libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-01-07 14:07:34 status unpacked libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-01-07 14:07:34 status half-installed libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-01-07 14:07:35 status half-installed libglib2.0-0:armhf 2.34.0-1ubuntu1
2013-01-07 14:07:36 status unpacked libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:36 status unpacked libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:36 upgrade mountall:armhf 2.42ubuntu0.2 2.42ubuntu0.3
2013-01-07 14:07:36 status half-configured mountall:armhf 2.42ubuntu0.2
2013-01-07 14:07:36 status unpacked mountall:armhf 2.42ubuntu0.2
2013-01-07 14:07:36 status half-installed mountall:armhf 2.42ubuntu0.2
2013-01-07 14:07:36 status triggers-pending ureadahead:armhf 0.100.0-12build1
2013-01-07 14:07:36 status half-installed mountall:armhf 2.42ubuntu0.2
2013-01-07 14:07:37 status half-installed mountall:armhf 2.42ubuntu0.2
2013-01-07 14:07:37 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:37 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:37 upgrade liblxc0:armhf 0.8.0~rc1-4ubuntu38 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:37 status half-configured liblxc0:armhf 0.8.0~rc1-4ubuntu38
2013-01-07 14:07:37 status unpacked liblxc0:armhf 0.8.0~rc1-4ubuntu38
2013-01-07 14:07:37 status half-installed liblxc0:armhf 0.8.0~rc1-4ubuntu38
2013-01-07 14:07:37 status half-installed liblxc0:armhf 0.8.0~rc1-4ubuntu38
2013-01-07 14:07:37 status unpacked liblxc0:armhf 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:37 status unpacked liblxc0:armhf 0.8.0~rc1-4ubuntu39
2013-01-07 14:07:38 upgrade libglib2.0-data:all 2.34.0-1ubuntu1 2.34.1-1ubuntu1
2013-01-07 14:07:38 status half-configured libglib2.0-data:all 2.34.0-1ubuntu1
2013-01-07 14:07:38 status unpacked libglib2.0-data:all 2.34.0-1ubuntu1
2013-01-07 14:07:38 status half-installed libglib2.0-data:all 2.34.0-1ubuntu1
2013-01-07 14:07:38 status half-installed libglib2.0-data:all 2.34.0-1ubuntu1
2013-01-07 14:07:38 status unpacked libglib2.0-data:all 2.34.1-1ubuntu1
2013-01-07 14:07:38 status unpacked libglib2.0-data:all 2.34.1-1ubuntu1
2013-01-07 14:07:38 upgrade linux-libc-dev:armhf 3.5.0-19.30 3.5.0-21.32
2013-01-07 14:07:38 status half-configured linux-libc-dev:armhf 3.5.0-19.30
2013-01-07 14:07:38 status unpacked linux-libc-dev:armhf 3.5.0-19.30
2013-01-07 14:07:38 status half-installed linux-libc-dev:armhf 3.5.0-19.30
2013-01-07 14:07:43 status half-installed linux-libc-dev:armhf 3.5.0-19.30
2013-01-07 14:07:43 status unpacked linux-libc-dev:armhf 3.5.0-21.32
2013-01-07 14:07:43 status unpacked linux-libc-dev:armhf 3.5.0-21.32
2013-01-07 14:07:43 upgrade rhythmbox-data:all 2.97-1ubuntu5 2.97-1ubuntu6.1
2013-01-07 14:07:43 status half-configured rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:43 status unpacked rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:43 status half-installed rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:44 status half-installed rhythmbox-data:all 2.97-1ubuntu5
2013-01-07 14:07:44 status unpacked rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:44 status unpacked rhythmbox-data:all 2.97-1ubuntu6.1
2013-01-07 14:07:44 trigproc ureadahead:armhf 0.100.0-12build1 0.100.0-12build1
2013-01-07 14:07:44 status half-configured ureadahead:armhf 0.100.0-12build1
2013-01-07 14:07:44 status installed ureadahead:armhf 0.100.0-12build1
2013-01-07 14:07:46 startup packages configure
2013-01-07 14:07:46 configure libglib2.0-0:armhf 2.34.1-1ubuntu1 <none>
2013-01-07 14:07:46 status unpacked libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status half-configured libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status installed libglib2.0-0:armhf 2.34.1-1ubuntu1
2013-01-07 14:07:46 status triggers-pending libc-bin:armhf 2.15-0ubuntu20
2013-01-07 14:07:46 configure libdconf1:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:46 status unpacked libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:46 status half-configured libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed libdconf1:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure dconf-service:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:47 status unpacked dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status half-configured dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed dconf-service:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1 <none>
2013-01-07 14:07:47 status unpacked dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status half-configured dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 status installed dconf-gsettings-backend:armhf 0.14.1-0ubuntu0.1
2013-01-07 14:07:47 configure mountall:armhf 2.42ubuntu0.3 <none>
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
2013-01-07 14:07:47 status unpacked mountall:armhf 2.42ubuntu0.3
